label,komentar
1,Akalo di pengemasan nya itu rapi dan aman banget kelengkapan nya pun lengkap tapi pas di buka hp nya kqya da bekas di pegang2 kotor selebihnyasi oke udah gitu aja pokonya
0,Sayangnya gak aga case hp nya trus waterglass nya udah ada lecet sama udah mau lepas wajar sih buat hp second atau bekas
0,Ada kerusakan pada kamera eror
0,Bagus sih barangnya tapi pas lihat chargerannya jadi bingung ini produk ori atau gak soalnya beda
0,hP nya sih lumayan yah ada harga ada kualitas kayanya ini barang rakitan bukan asli oppo nya karna jatoh dikit aja udh pada retak tau gtu gak saya ambil soalnya kardus dari beli di oppo langsung sama disni beda keliatan banget barang rakitan nya
0,Hp kw minta retur ga di denger
0,minta warna merah datang hitam gk ada kartu garansi oppo barang datang kondisi hp panas karna nyala dalam perjalanan
0,Agak kecewa soalnya hp udah diidup kaya udah dipake
0,Kecewa sama kotak hp nya cuma gini
0,ga ori batre boros bgt di charger susah dusbox kelihatan gk ori saat sampai hp nyala
1,Terimakasih kak sudah saya unboxing barangnya bagus packing juga super aman
0,sayang Charger tidak original entah di tukar atau gimana saya tidak tau dan di dalam box hp kondisi nyala Lain kali tolong yg amanah ya
0,Baterai hp Boros bnget dan hp di goyangkan seperti dalamnya hp kendor ikutan goyang
0,barang yang saya pesan tidak sesuaiminta warna putih dikirim merah pdhl sebelumy saya sudah tanyakan dulu apakah warna putih ready bilangy ready tp ternyata bohong
0,Kecewa banget barang sudah rusak ini hp udah di bongkar kalo jualan yang bener dong saya kalo tau hp nya rusak saya mending ajukan pengembalian barang dan dana aja rugi banget saya
1,Produk real sesuai foto mantap lah toko ini jangan takut kalo mau order disini Rekomendasi lah pokoknya belanja di toko ini
1,Alhmdulillah paket nya udah sampe dngn selamat barang nya bagus tpi hp nya pas samep dlm keadaan lowbet makasih reseller
1,Puasss varian warna nya jg sesuai Terimakasih y kak
0,gampang lowbat batrenya sama layarnya nggak sensitif
1,mantap procesosernya kenceng ramnya gede
1,pas pertama coba sangat smoot banget halus sam ringan hpnya jos gados
1,hp terbaru menggunakan teknologi super canggih luar biasa sekali mantap
1,harga murah dapat kualitas tinggi ramnya gede processornya yang terbaru kuliatas mantap
1,tidak diragukan emang kualitas oke speaker super kenceng enak buat nyetel lagu
1,jaringan super lancar enak dibuat main game super cepet
1,hpnya mantap dapat banyak bonus kaya headset paper glass tidak lecet lecet barang mulus banget
1,tidak ada masalah semuanya oke kinerja hpnya mulus pas dicoba enak banget dipegang sama bagus buat foto
1,kameranya luar biasa sangat jernih dan hasilnya luar biasa
0,nyesel banget masa kartu sd nya nggak bisa dibaca padahal masih bener nyesell banget
1,waw murah banget
1,Selernya ramah pisan packing rapi plus bubble wrap Gambar bagus Kondisi masih segel plastik plus HP hidup
0,Hp nya bagus tp pengiriman kurir nya lama banget pakai banget tingkatkan aja deh buat pengirimannya Sampi aq komplain ke kurir en shopeee
1,barang utuh kwalitas bagus sesuai request warna black
0,Barang tidak sesuai apa yg di harapkan yang pesan Gren yg datang red
0,Tidak bakal mau beli lagi ternyata hpnya sdh gak baru sudah pernah dibongkar sblumnya org konter bilang Pantas sja bisanya barang baru buka dos sdh gak bisa dicas
1,Masih baru gays buka segelmasih kinclong inyis inyis meski tahun pembuatan 2020 tapi ini oke gak ada kendala sama sekali terimakasih min
1,Alhamdulillah barang nyampe dgn selamat Hp ori cas nya juga ori Terimakasih kak semoga laris selalU
1,Sdh sampai paketnya ternyta sdh di pasangkan kaca anti gores nya dan sdh di atur HP nya jdi tidak sperti dtang dri pabrinya tp puas peking amancase bening nya tidak ada semoga batrai nya awet ya terima kasih
1,Bagus cuma harus ganti anti goresnya krna udah gores semua produk juga ORI masih ada segel dan ada garansiny pokoknya gak nyesel kalo beli disini packing juga aman banget
0,Jngn mau beli di sini hp rusak di jual hp ga bisa di pake batrenya bocor abis mulu nyesel beli di toko ini Klo bisa di balikin gua balikin nih
0,Kendala mic hadphone nya rusak ga fungsi jdi ga bisa buat tlpn atau vn atau rekam suara Hpnya ori tapi dalam keadaan yg bekas Return susah banyak syarat dan lama bngt di responnya
0,Ini toko emang bener kebangeten barang bekas dijual dengan iming harga diskon Cas hp bener jelek bgt barang kw bukan ori
0,Padahal pesennya mystery white dan ternyata pas di buka hpnya dalam keadaan menyala gag ada buku garansi dan pedoman tusukan kartunya tidak ada Pokoknya kecewa banget pesen di sini ternyata barangnya bekas
0,Barang tidak ori Tidak sesuai deskripsi
0,Kayaknya HP refurbish cuma ya ngga nyalahin toko nya Tapi harusnya dikasih keterangan yg detail dan jelas Penjual juga gak ngasih info apa Ada harga ada kualitas Warna juga gak sesuai pesanan
1,dapat bonus banyak kualitas terjamin
0,layar retak dan mati total
0,Maaf saya kecewa krena HP ini HP replika bkan aslinya Hp ringan sekali Dosbook gkada gambar HP nya pokok saya kecewa dgn toko ini dan gkada pernah beli dsini lgi
0,kamera sangat buram tidak bisa buat foto
0,kamera bisa dilihat di gambar hp tidak resmi dari oppo case nya tidak ada dosbuk nya aja udah beda banget sama yang asli
1,Packing aman insya Allah bagus dan awet bismillah awet dan tidak kenapa kenapa Terima kasih
1,Nggk bakal nyesel beli di toko ini sangat puas warna juga sesuai
1,Barang real pict sesuai yg d harapkan puas sama barang ny GK ada yg cacat
0,Pesenan yg kedua agak mengecewakan hp sudah nyala didalam dosbook budy catu atau gupiL
0,Barang sudah sampai dengan selamat semoga aman tidak ada kendala
1,Barang datang sesuai pesanan warna juga sesuai semoga barangnya awet dan bisa langganan disini
1,Kondisi hp masih d segel baru asli gres favking rapih dauble boble
0,Barang diterima tidak sesuai warna pesanan pengiriman lama beli 2 yg satu tidak bisa ngisi battrenya
1,Bagus hp nya sesuai dgn gambar dan juga ori GK ada kerusakan apapun di hp dari luar atau dalem Mantep deh
1,proses pengiriman cepat dan packing rapi kondisi barang normal mudah mudahan normal seterusnya tapi sayang minta warna putih dikasihnya warn biru dan tidak full ori tapi gpp lah yg peting lancar aja brangnya
1,barang ori pengiriman juga cepat terpercaya banget pokoknyaa wajib beli lagi disini besok wort it banget
1,Makasih seller pesanan udah saya terima barang bagus sesuai dengan harga cuma agak sedikit kecewa pertama anti gores blm terpasang ke dua tidak adanya softcase biasanya dalam paket penjualan selalu di lengkapi baru ini beli ga da softcase bawaan nya kepaksa beli sendiri softcase plus antigores nya
1,Packing rapi sesuai dengan etalase suka belanja di toko ini toko nya amanah.makasi buat shoppe udah ngasi voucher dan juga cashback
1,Hp sampai dengan selamat walaupun packingnya skrng ga pakai kayu lg seperti sebelumnya waktu prtma beli disini Tp kardus aman hp jg insyaallah aman sudah saya test berfungsi dengan baik terima kasih.
1,Alhamdulillah paket di terima dengan baik dan Handphone berfungsi dengan baik dan aman sampai tujuan
1,Alhamdulillah sudah sampai semoga tidak ada cacat nya semoga aman terimakasih banyak sudah 2x pesan hp merek ini meskipun beda tepi yang pertama sampai sekarang masih awet meskipun sering jatuh Tergantung penggunaan dan rawatnya yah guys
0,Sehari Pake rusak mati sendiri ke service center ga ada kejelasan dapet surat rekomendasi ganti unit baru udah di kirim kesana ditanya kapan saya dapet hp barunya ga pada tau GA USAH JUAL BARANG RUSAK DEH MASA BARANG BARU LAUNCHING UDAH RUSAK AJA nyesel beli hp produk ini
0,Hpnya mati sendiri
0,Produk cacat
0,produknya jelek banget
0,nggak cocok sama dskripsi yang ini cacat
1,kualitas dan harganya sangat ramah dikantong
0,hpnya baru dibuka langsung mati sangat cacat sekali produknya
0,Hapenya lemot Baru d pakai 3 hari suka mati sendiri Terus restart srtelan pabrik ga bisa install aplikasi Koneksi wifi stabil padahal Udah di coba segala macem cara dr google Juga msh begini trus
1,terimakasih barang sudah sampai dengan selamat produk ori pengiriman cepat
1,Terima kasih banyak gan barang nya smp dengan selamat Lancar pake nya Sukses selalu ya gan
1,alhamdulillah berfungsi dengan baik semoga awet
1,Semoga aja hpnya awet dan tahan lama yah dan juga baik baik aja thanks you yah
1,Barangnya nyampe dengan selamat makasih Shopee aku sukaaaaa Barang bisa dipakai dengan fungsinya
1,Barang sampai aman packing bagus HP orie pokoknya puas belanja disini dan ada garansi jg
0,model seri baru dari redmi sayang ada cacat gores dikit karena mau di bawa keluar kota jadi kalo mau komplain ga ada waktu padahal belinya lgsg di official
0,MAAF SY GANTI PENILAIAN NYA Ternyta hp y tiba tiba nge hang ga bisa di scroll ga bisa d off in komplen tp dsuruh hubungi servic center sendri ga ada nota pembelian nya tp kata y invoice y sama kaya yg di pesanan Hadeehh nyesel deh
0,Produk sampai dengan selamat tapi mohon tingkatkan lagi keamanan nya saat packing
0,Sorry min aku ganti penilainnya
1,kulitas brang oke semua fungsi berjalan baik ram mantap dan penyimpanan sanget besar sangat lauar biasa
0,Segi pengemasan dan pengiriman kurang aman resiko kerusakan tinggi
0,Produk yg datang tidak sesuai saat sampai
1,Barang sudah kami terima kondisi bagus dan tersegel belum di pakai dan coba cas terimakasi seller
1,Ok kak makasih barang sesuai pesanan untuk pengiriman nya cepat dan pengemasannya sangat rapi sehingga brang mulus tiada cacad sdikit pun
1,Puas beli di toko ini pengiriman cepat ya respon penjual juga cepat baik barang diterima ber segel bagus sesuai dg yang diharapkan next belanja hp di toko ini aja deh gercep banget kan thankyou
1,Bagus warna sesuai gambar pengemasanya juga bagus
0,ni gimna yah saya pesen putih kok yg dateng merah box sama hp juga ga sesuai casan ringan bngt kaya beli yg 5k kecewa bngtt tolong dong pertanggung jwban nya
1,Hp nya mulus bagus ga ada cacat
0,Hp yg di beli ternyata ada masalah d kamera Kameranya ada garis garisnya gitu
1,bagussssssssssssss bangettttttttt casinggggggnyaaaaaa bagusssss bahannyyyaaaaaaaa jugaaaaaaaaa terusssssss murahhhhhhhhh tapiiiiii kualitasssssss okkkkkkkkk bingittt thank u shopee and seller semogaaaa kitaa semuaaa semakinnn dimudahkannnn rezekinyaaaa aminnnnnn
1,tidak buruk pahami sebelum membeli Ini barang rekondisi packing ulang saya yang unboxing sendiri dan juga saya yang setting semuanya Harga murah ya jangan minta yang baru kalau mau baru dan sesuai harga langsung ke konter terdekat saja Honest review from me thx u
0,kenapa pas charger kok lama bgt masuk nya ya dari tadi 10% aja setelah 1jam cuma masuk 30% Terus batre suka kesedot sendiri Nyoba pake casan hp lama juga ttep aja gak masuk masuk Udah mah gak ada kartu garansi.Saya mau pengembalian barang dan dana saya balikin aja min Mohon maaf
1,Alhamdulillah barang sdh sampai dg aman barang sesuai pesanan bagus mulus produk ori harga sangat bagus respon penjual sangat baik
1,Makasie barangnya sudah mendarat dengan mulus walupun warnanya tidak sesuai tetep
0,agak kecewa sih krna pesan hitam di kasi putih trus pengecas nya tidak ori
1,Bagus fisik nya semoga kedepannya tidak ada trouble aman aman aja aminn makasih packingnya juga rapih dan mendarat dengan selamat
0,Sangat kecewa dengan produk nya baru make 1 jam batre nya drup ngga awet pdahal cesan nya penuh
1,Barang ori cuman sayang tidak ada case hp sama surat dalam dos tidak lengkap tapi okelah
0,Hp tidak bagus anti gores baru 2 hari pake udah lecek kayak d pake 6 bulanan keliatan hp rakitan layar jg tidak terlalu bersih buram n pudar layar tidak cerah paling parah batre cepet habis 20% lngsung mati bner2 tdk ORI Kecewe bgt minta green d kasih black cas jg g pas sm hp
1,Barang nya sudah diterima pengiriman nya cepat Barang nya aman
0,Barangnya Sesuai lengkap cuman sayang flass dan senter tidak berfungsi semoga aj awet
1,Baguss dan ORI Barang mulus gae
1,Barang sesuai deskripsi produk bagus dan recommended seller
0,Posisi HP di bawah dan tdk ada kardus pelindung jadi ketika digerakan HP terdengar oplo oplok Tdk safety Saya sih pgn berprasangka ke pihak oppo nya aja walau agak gak mungkin y
0,Ini kenapa ada baut didalam kamera dan casan nya gak bisa masuk Kok bisa kirim barang palsu kaya gini saya kecewa
0,Lha kok hp bekass sedih bgt akutu kukira baruuu hikss sebel deh
0,Barang sudah saya terima Kepala cas rusak Sdh saya complaint ke penjual untuk pengantian kabel tapi tidak di tanggapi dgn baik Saya tdk merekomendasikan toko ini
0,Tidak sesuai apa yang saya tanyakan di chat Bilang.nya barang Baru new ternyata begitu sampe Barangnya secondbekas Hp pada lecet ACC Bukan original Box bukan original Sangat Tidak Amanah
1,Memori besar harga murmer Mantap
1,Mau ngecek performa hp nya dulu Heheh Bagus sih
1,Bagus HP nya memuaskan msh garansi toko jg 1th lumayan buat dagang online kan buat hp nya admin recomended deh next mau beli lg thanks seller
1,Pengemasan mantap Produk bagus cuman hanshet kurang bagus Untuk kelengkapan ada semua Pengiriman Untuk kuril juga ok Untuk tokoh sanggat amanah sekali Untuk shopee Cukup memuaskan
1,Produk original kualitas baik dan harga sungguh sangat hemat Packing sangat rapi dan aman suraman bubbleny sangat tebal berapa lapis Ratusan Pengiriman sangat cepat Rekomendasi untuk para konsumen elektronik gadget disini
1,Hp aman ada headstnya di hp ada bekas jari jaritapi ok lah kan murah yah buat kerja smoga bagus
0,Hpnya mendarat dengan selamat tapi sayang speakernya mati
0,Barang orie sih berbungsi dengan baik tapi agak kecewa pesen warna merah yg dateng malah grenn
0,Tombol volume nya gk bsa di gunain
0,Pesanan sudah sampai barang ok smua mkasih seller Sayang pesan hitam dikirim merah mw balikin tambah ribet yaudalah Hape g ada pelindung layar juga
0,Batere hpnya cepat lobet batu hpnya cepat ngedrop apa apaan hp baru apa hp sekeun bos
0,Speakernya mati
0,PENIPU HP TIDAK ORI BARU SEMINGGU PEMAKAIAN SUDAH MATI TOTAL MENDING JANGAN BELI DISINI
0,untuk kamera buram tidak jernih dan untuk layar sepertinya sudah di ganti LCD nya
0,SAYA BELI 4 HP SEMUA UNTUK HADIAH DAN 1 HP MATI TOTAL SETELAH DI PAKAI 1 MINGGU DI CEK IMEI SEBELUMNYA TIDAK TERDAFTAR SELLER DI CHAT SANGAT SLOW SPONSE DI CHAT PANJANG LEBAR BALASNYA 1 KATA JUALAN GK AMANAH ATI2 YANG MAU BELANJA DI TOKO INI KALAU MAU DI TIPU SILAHKAN Kualitas produk tidak baik Produk tidak original
1,Kualitas produk sangat baik pengiriman sangat cepat respon penjual cepat produuuk originaall harga produk sangat baikkkkkkkkkkkkkkkkk
0,Ini tidak ada jaringan trs gmna ya
0,Perdana beli xiami poco m3 pro 5G Saya baru liat dot putih kecilnya ketika mode malam autonya nyala Resiko beli online kita ga bs langsung tukar ke toko Hrs ke service center Pdhl dari unitnya pakai saja belum ada 1 hari tp uda harus dibawa ke service center Semoga ga menyebar titiknya
0,Hp rusak ga nyala sudah pengembalian malah di kembalikan lagi di suruh service hp ke service center Hati-hati kalo beli electronic lebih baik di counter langsung
0,Hp saya kok cepat panas ya Emang gitu Padahal baru mulai dowloadin aplikasi dah mulai panas Mohon panduan nya habis dipandu baru tambah star
0,wifii tidk bisa di gunakn beli dalam kondisi baru hasil ya mala bikin kecewa parah
0,Masalah di koneksi yang sering hilang dan kamera burem setelah di update saat di refund malah di tolak Kecewa bener
0,Charger bermasalah kalo jual barang yg bagus dong
1,suaranya sangat jernih dan juga gambarnya punya resolusi tinggi lancar saja mantap
1,Sebenarnya saya sangat suka dari segi fasilitas dan pengirimannya yg sangat cepat Namun warna pada versi cool blue ini yg sedikit mempengaruhi saya dalam berekspektasi sebelumnya Saya kira warnanya akan menjadi benar benar biru ternyata di aslinya jadi lebih mendekati hijau Sekian dan trim
1,Produk bagus pengiriman cepet cuman packing nya aja cuma pake buble 1 lapis doang
0,hp nyala bagus tapi packingnya nggak banget cuma kardus shopeenya penyok plus bubble wrap selembar doang beli produk makanan/minuman aja bubblewrap tebal banget ini Hp dong rentankan harusnya bubblewrap nya tebal
1,hp sampe dikasi ke kurirnya cepet kok Dikasi struk jg dr Digimaps didalemnya jadi jelas abisnya di belanja ini berapa Original IMEI aman sinyal all good great job Digimaps
1,Barang ori terimakasih digimap baru pertama kli order online takut jg tapi alhamdulillah aman packing jg aman walaupun cm bubblewrap aja pengiriman Cepat responnya jg cepat
0,Aku ubah penilaian terakhir Baru sebulan ada noda di kamera ditanya juga gak jelas nyesel beli disini
0,speakernya pecah tapi penjual ga responsif membalas chat tidak bertanggung jawab dan hanya menyuruh untuk ke service center padahal speakernya pecah dari awal kecewa banget padahal barang mahal
0,Kecewa bgt Krn ternyata ada kerusakan di bagian speaker
1,Alhamdulillah sudah sampai semoga tidak ada cacat nya
1,Alhamdulillah barang sampai dg selamat kardus luar penyok kardus HP ddlm kondisi baik pake pengaman bubble wrap jg smg awet soalnya slma ni pke hp somay bandel nian
1,Pengiriman nya cepat dan packing nya aman banget Ditambah lagi bubble wrap belum tau hpnya sih belum dibuka soalnya moga moga aja hpnya baik baik aja
1,mantap barang mulus sudah ddipsang paper glassnya sama softcast sukses selalu
1,suara renyah eanak ditelinga sama hp ringan enak digengam mantap dah pokoknya
1,boi mulus no lecet ramnya gede banget tambah kenceng
1,pake tekneologi terbaru luar biasa min kenceng banget pas dicoba sama sensitif dan makin cakep
1,jaringan aman kartu slot aman semuany aman sama ada bonus softcas dan paper glass tambha cakep
1,keren abis warnanya memuaskan mata bodynya besar cocok buat nonton film
1,layarnya enak sama resulusinya tingga tambah memenjakan mata mantap
1,gila super hpnya pake resolusi tinggi anti lag sama super cepet
1,tidak ada lag maupun hang semuanya lancar osnya juga cakep
1,jadi pengen nambah ram nih tapi udah gede luar biasa sih sama penyimpanannya juga gede banget
1,gila buat game lancar jaya super
1,ini cocok hpnya buat game anti lag sama hang semuanya lancar jaya
0,Hp nya lemot padahal baru apa lagi nanti udah lama tapi mudahan awet
0,apenya lemot Baru d pakai 3 hari suka mati sendiri Terus restart srtelan pabrik ga bisa install aplikasi Koneksi wifi stabil padahal Udah di coba segala macem cara dr google Juga msh begini trs
0,Sehari Pake rusak mati sendiri ke service center ga ada kejelasan dapet surat rekomendasi ganti unit baru udah di kirim kesana ditanya kapan saya dapet hp barunya ga pada tau GA USAH JUAL BARANG RUSAK DEH MASA BARANG BARU LAUNCHING UDAH RUSAK AJA nyesel beli hp produk ini
0,Kecewa untuk kedua kalinya belanja di toko ini Pesanan pertama kemasan rusak kedua barang tidak sesuai dengan ekspektasi Karena deskripsi yg dicantumin tidak spesifikasi
1,spesifikasinya gahar harga murah luar biasas sih ini mah
0,lemot banget osnya jelek sama ramnya kecil dan storagenya juga kecil
0,ramnya kecil tidak sesui deskripai
0,cepet panas sama storagenya gampang penuh kecil ukurannya
0,Belom apa apa wifi gak bisa berfungsi gimana mau awet ini kedepannya
1,dari speaker bagus semuanya mulus tidak ada cacat apapun dari kemasan juga oke
1,packging aman semuanya mulus ram oke storage besar speaker kenceng luar biasalah pokoknya
1,kulalitas terbaik tidak ada kerusakan
1,performa lancar hp tidak cacat maupun lecet sedikitpun
1,kulitas oke akselerasinya luar binasa
1,harga ramah di kantong dengan spek dewa
1,pengemesannya rapi dan sesaui dengan pemesanan
1,kinerja hp tidak ada yang cacat
1,layar mulus body mulus semuanya tidaka ada yang cacat
1,spek dewa luar biasa saya sangat suka karna ramah kantong
1,mantap hp gini cuman di bawah 1 juta luar bisa sangat worth it
